Totalt_antal_fall,Kumulativa_fall,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Södermanland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra_Götaland,Örebro,Östergötland,Antal_avlidna,Kumulativa_avlidna,Antal_intensivvardade,Kumulativa_intensivvardade,Statistikdatum
202,16755,0,0,0,7,5,4,1,1,0,0,8,98,2,5,1,0,1,11,23,16,19,3,2006,3,1217,2020-04-23
718,16553,6,33,0,23,19,18,31,11,13,5,20,292,50,31,5,9,4,18,75,26,29,26,2003,25,1214,2020-04-22
710,15835,4,35,0,22,17,13,49,11,14,3,7,163,55,32,7,5,12,39,123,64,35,26,1977,27,1189,2020-04-21
462,15125,1,10,1,4,10,1,8,6,9,8,9,211,14,32,7,4,2,28,50,23,24,54,1951,24,1162,2020-04-20
389,14663,0,8,0,8,6,6,15,4,11,2,5,192,13,18,4,7,8,29,31,6,16,60,1897,33,1138,2020-04-19
531,14274,0,27,0,29,7,9,35,2,21,1,17,179,8,18,3,3,2,18,48,52,52,63,1837,29,1105,2020-04-18
688,13743,0,26,0,24,9,19,36,5,12,15,21,221,64,44,3,19,5,27,77,32,29,64,1774,35,1076,2020-04-17
623,13055,0,25,1,21,15,12,23,4,10,13,17,221,47,37,7,3,3,31,84,30,19,99,1710,33,1041,2020-04-16
604,12432,0,28,2,17,6,15,28,2,12,3,19,215,42,32,3,14,5,30,70,30,31,102,1611,34,1008,2020-04-15
480,11828,1,12,0,11,6,14,12,5,6,4,12,180,16,39,2,5,5,12,63,52,23,89,1509,38,974,2020-04-14
437,11348,0,12,0,11,3,6,5,6,3,17,9,200,20,13,3,5,6,18,48,21,31,84,1420,43,936,2020-04-13
463,10911,1,31,0,17,3,6,9,2,4,2,14,182,14,13,4,0,5,18,41,75,22,95,1336,32,893,2020-04-12
394,10448,0,9,0,10,2,2,5,3,10,2,6,200,22,15,2,2,0,33,32,13,26,96,1241,45,861,2020-04-11
455,10054,1,17,0,18,4,8,19,1,4,6,24,148,41,4,3,15,8,27,69,7,31,89,1145,38,816,2020-04-10
644,9599,1,30,1,18,12,8,21,1,5,5,11,240,38,29,4,12,4,24,116,10,54,84,1056,31,778,2020-04-09
655,8955,2,28,1,17,9,8,18,2,7,12,15,271,33,29,1,12,5,23,68,37,57,111,972,44,747,2020-04-08
738,8300,1,28,0,16,13,5,23,4,14,17,24,243,42,37,7,14,10,46,64,73,57,83,861,45,703,2020-04-07
389,7562,0,16,0,12,10,5,10,6,3,10,6,131,17,31,2,4,4,18,53,12,39,91,778,42,658,2020-04-06
340,7173,1,7,0,7,3,0,12,3,2,2,6,172,27,9,1,8,2,7,30,0,41,86,687,46,616,2020-04-05
357,6833,4,18,0,12,2,2,15,1,2,3,12,129,17,11,1,17,6,14,30,3,58,71,601,33,570,2020-04-04
602,6476,1,20,1,16,12,2,29,2,2,6,24,246,59,38,1,17,3,27,48,20,28,78,530,41,537,2020-04-03
555,5874,3,6,0,17,9,4,32,5,7,8,8,218,34,28,0,12,1,18,47,28,70,69,452,47,496,2020-04-02
486,5319,5,19,0,30,4,0,13,5,1,5,8,205,49,25,2,5,2,11,29,5,63,52,383,44,449,2020-04-01
475,4833,1,23,1,14,7,1,17,2,5,6,7,209,49,15,0,8,13,10,29,11,47,47,331,31,405,2020-03-31
415,4358,0,9,0,10,5,2,15,3,1,5,5,171,60,21,1,7,6,23,27,17,27,43,284,30,374,2020-03-30
281,3943,4,10,0,11,2,2,8,1,4,2,3,150,4,11,1,1,9,0,15,3,40,39,241,40,344,2020-03-29
300,3662,0,6,0,12,6,8,9,1,2,4,2,147,8,7,3,5,2,3,25,8,42,35,202,29,304,2020-03-28
366,3362,2,15,1,9,3,3,15,5,4,4,10,176,26,20,1,2,2,11,18,6,33,32,167,29,275,2020-03-27
286,2996,0,8,4,5,9,7,9,6,2,3,7,132,16,12,0,3,3,5,20,6,29,31,135,40,246,2020-03-26
314,2710,3,13,1,7,7,2,7,2,1,5,13,154,37,15,0,4,2,3,19,8,11,23,104,30,206,2020-03-25
230,2396,0,9,0,5,0,4,5,1,2,6,5,105,14,11,3,3,2,4,10,11,30,20,81,34,176,2020-03-24
182,2166,0,9,0,3,4,0,2,3,0,5,7,99,2,8,2,0,2,3,9,6,18,11,61,38,142,2020-03-23
117,1984,0,5,0,0,1,9,1,1,0,3,3,59,11,5,1,1,0,0,4,0,13,12,50,23,104,2020-03-22
134,1867,0,0,0,4,3,14,4,1,0,3,5,71,6,2,1,0,0,0,8,0,12,8,38,12,81,2020-03-21
180,1733,0,5,0,5,5,3,3,1,0,5,5,84,4,1,2,5,0,2,23,5,22,9,30,18,69,2020-03-20
143,1553,0,2,1,0,2,1,2,1,1,1,2,66,5,5,0,2,0,1,14,9,28,7,21,8,51,2020-03-19
145,1410,1,2,1,2,2,4,2,1,1,0,8,58,0,17,1,3,1,0,10,3,28,6,14,15,43,2020-03-18
119,1265,1,3,1,4,3,0,1,0,1,1,6,35,5,5,1,3,1,6,13,16,13,1,8,4,28,2020-03-17
83,1146,0,0,0,2,1,1,2,0,0,0,3,34,12,2,2,2,1,7,6,0,8,2,7,5,24,2020-03-16
69,1063,1,0,0,0,2,7,4,0,1,0,4,17,4,0,1,1,0,0,18,0,9,2,5,5,19,2020-03-15
71,994,0,0,0,1,0,3,0,2,1,0,25,18,1,4,1,3,0,0,5,0,7,1,3,6,14,2020-03-14
152,923,0,1,0,1,9,3,4,0,3,1,42,31,6,10,3,0,2,5,19,2,10,1,2,2,8,2020-03-13
151,771,2,3,0,2,9,5,7,2,2,0,32,42,3,11,4,1,3,0,19,3,1,0,1,0,6,2020-03-12
196,620,6,1,2,1,16,3,16,2,7,4,37,32,6,4,2,0,0,0,57,0,0,1,1,1,6,2020-03-11
98,424,1,0,0,0,1,0,0,1,1,0,34,26,0,4,3,8,6,0,13,0,0,0,0,2,5,2020-03-10
101,326,0,0,0,0,4,0,6,0,0,1,3,64,1,0,7,0,0,0,15,0,0,0,0,0,3,2020-03-09
46,225,0,0,0,0,1,0,2,0,0,0,0,29,0,1,0,0,0,0,11,2,0,0,0,1,3,2020-03-08
33,179,0,0,0,0,0,0,0,0,0,0,5,21,0,1,0,0,0,0,5,1,0,0,0,1,2,2020-03-07
59,146,0,0,0,2,0,0,0,0,0,0,8,36,0,1,11,0,0,0,1,0,0,0,0,1,1,2020-03-06
25,87,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,1,0,0,0,0,0,0,2020-03-05
30,62,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,1,1,0,0,0,0,0,2020-03-04
13,32,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,2020-03-03
5,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2020-03-02
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-01
3,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2020-02-29
8,11,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,2020-02-28
1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-27
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-02-26
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-24
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-23
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-22
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-21
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-20
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-19
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-18
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-16
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-14
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-13
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-11
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-10
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-09
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-08
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-07
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-06
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-05
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-04
